Date : 2024-03-05 22:21:05
Directory : /home/mcs/Workspace/js/js-vanilla-practice
Total : 196 files,  7198 codes, 1060 comments, 980 blanks, all 9238 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/view/components/Elements/OrdersTable                                                                                       |          4 |         82 |         75 |         29 |        186 |
| src/view/components/Elements/Pagination                                                                                        |          3 |        129 |         45 |         30 |        204 |
| src/view/components/Elements/ProductCard                                                                                       |          2 |         98 |         46 |         39 |        183 |
| src/view/components/Elements/ProductDetailsForm                                                                                |          4 |        316 |         65 |         52 |        433 |
| src/view/components/Elements/ProductStatCard                                                                                   |          3 |         90 |         22 |         29 |        141 |
| src/view/components/Elements/SaleGraph                                                                                         |          2 |         95 |         35 |         25 |        155 |
| src/view/components/Elements/Tag                                                                                               |          2 |         23 |         20 |          5 |         48 |
| src/view/components/Layouts                                                                                                    |          7 |        205 |         35 |         41 |        281 |
| src/view/pages                                                                                                                 |          6 |        277 |         75 |         75 |        427 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/mcs/Workspace/js/js-vanilla-practice/.eslintrc.cjs                                                                       | JavaScript         |         23 |          0 |          1 |         24 |
| /home/mcs/Workspace/js/js-vanilla-practice/.prettierrc                                                                         | JSON               |         12 |          0 |          1 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/README.md                                                                           | Markdown           |         15 |          0 |          9 |         24 |
| /home/mcs/Workspace/js/js-vanilla-practice/index.html                                                                          | HTML               |         13 |          0 |          1 |         14 |
| /home/mcs/Workspace/js/js-vanilla-practice/jsconfig.json                                                                       | JSON with Comments |          8 |          0 |          1 |          9 |
| /home/mcs/Workspace/js/js-vanilla-practice/package-lock.json                                                                   | JSON               |      2,584 |          0 |          1 |      2,585 |
| /home/mcs/Workspace/js/js-vanilla-practice/package.json                                                                        | JSON               |         32 |          0 |          1 |         33 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/addCircle.svg                                                      | XML                |          5 |          0 |          0 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/albums.svg                                                         | XML                |          5 |          0 |          0 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/arrowDown.svg                                                      | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/arrowUp.svg                                                        | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/bagHandle.svg                                                      | XML                |          4 |          0 |          0 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/calendar.svg                                                       | XML                |         14 |          0 |          0 |         14 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/checkCircle.svg                                                    | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/chevronDown.svg                                                    | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/chevronForward.svg                                                 | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/chevronUp.svg                                                      | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/dashboard.svg                                                      | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/documentText.svg                                                   | XML                |          4 |          0 |          0 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/logo.svg                                                           | XML                |          4 |          0 |          0 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/masterCard.svg                                                     | XML                |          5 |          0 |          0 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/notifications.svg                                                  | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/picture.svg                                                        | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/printer.svg                                                        | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/search.svg                                                         | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/threeDotsHorizontal.svg                                            | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/threeDotsVertical.svg                                              | XML                |          3 |          0 |          0 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/user.svg                                                           | XML                |          4 |          0 |          0 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/xMark.svg                                                          | XML                |          1 |          0 |          0 |          1 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/constants/common.js                                                             | JavaScript         |          8 |          0 |          5 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/constants/icons.js                                                              | JavaScript         |         78 |          0 |          3 |         81 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/constants/index.js                                                              | JavaScript         |          3 |          0 |          1 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/constants/routes.js                                                             | JavaScript         |         34 |          0 |          4 |         38 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/controllers/ControllerMethods.js                                                | JavaScript         |          3 |          0 |          1 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/controllers/DefaultLayout.js                                                    | JavaScript         |         24 |         10 |          3 |         37 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/controllers/OrderDetails.js                                                     | JavaScript         |         74 |         21 |          7 |        102 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/controllers/OrderList.js                                                        | JavaScript         |         25 |         10 |          3 |         38 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/controllers/Product.js                                                          | JavaScript         |         33 |          9 |          4 |         46 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/controllers/ProductDetails.js                                                   | JavaScript         |         47 |          8 |          8 |         63 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/controllers/index.js                                                            | JavaScript         |          6 |          0 |          1 |          7 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/main.js                                                                         | JavaScript         |          3 |          3 |          2 |          8 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/main.scss                                                                       | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/common/DTOMethod.js                                                       | JavaScript         |          4 |          0 |          1 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/common/index.js                                                           | JavaScript         |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/Brand.js                                                              | JavaScript         |          6 |          6 |          1 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/Category.js                                                           | JavaScript         |         11 |         11 |          3 |         25 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/Order.js                                                              | JavaScript         |         26 |         18 |          3 |         47 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/OrderProduct.js                                                       | JavaScript         |         14 |         13 |          3 |         30 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/OrderStatus.js                                                        | JavaScript         |          6 |          6 |          1 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/PaymentMethod.js                                                      | JavaScript         |          6 |          6 |          1 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/Product.js                                                            | JavaScript         |         77 |         26 |          6 |        109 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/ProductImage.js                                                       | JavaScript         |          8 |          8 |          1 |         17 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/Shipping.js                                                           | JavaScript         |          6 |          6 |          1 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/User.js                                                               | JavaScript         |         10 |          9 |          1 |         20 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/UserPaymentMethod.js                                                  | JavaScript         |         16 |         15 |          3 |         34 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/dto/index.js                                                              | JavaScript         |         11 |          0 |          1 |         12 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/model/index.js                                                                  | JavaScript         |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/routes/index.js                                                                 | JavaScript         |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/routes/router.js                                                                | JavaScript         |        134 |         22 |         24 |        180 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/routes/routes.js                                                                | JavaScript         |         22 |          0 |          2 |         24 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/_index.scss                                                              | SCSS               |          4 |          0 |          1 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/abstracts/_index.scss                                                    | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/abstracts/_variables.scss                                                | SCSS               |         30 |          4 |          5 |         39 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_common.scss                                                        | SCSS               |         68 |          0 |         11 |         79 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_index.scss                                                         | SCSS               |          3 |          0 |          1 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_reset.scss                                                         | SCSS               |         19 |          0 |          4 |         23 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_typography.scss                                                    | SCSS               |         35 |          8 |          9 |         52 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/_index.scss                                                   | SCSS               |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/_index.scss                                          | SCSS               |         17 |          0 |          1 |         18 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/breadcrumb/_breadcrumb.scss                          | SCSS               |         21 |          0 |          5 |         26 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/breadcrumb/_index.scss                               | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/button/_button.scss                                  | SCSS               |         40 |          0 |         10 |         50 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/button/_index.scss                                   | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/category/_category.scss                              | SCSS               |          8 |          0 |          2 |         10 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/category/_categoryToggle.scss                        | SCSS               |         16 |          0 |          3 |         19 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/category/_index.scss                                 | SCSS               |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/chart/_chart.scss                                    | SCSS               |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/chart/_index.scss                                    | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/input/_index.scss                                    | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/input/_input.scss                                    | SCSS               |         23 |          0 |          5 |         28 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/link/_index.scss                                     | SCSS               |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/link/_link.scss                                      | SCSS               |          5 |          0 |          0 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/link/_navLink.scss                                   | SCSS               |         13 |          0 |          2 |         15 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/listTable/_index.scss                                | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/listTable/_listTable.scss                            | SCSS               |         44 |          0 |          9 |         53 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/optionsBox/_index.scss                               | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/optionsBox/_optionsBox.scss                          | SCSS               |         55 |          0 |          8 |         63 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/orderDetails/_customerDetails.scss                   | SCSS               |         86 |          0 |         16 |        102 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/orderDetails/_index.scss                             | SCSS               |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/orderDetails/_orderedProducts.scss                   | SCSS               |         46 |          0 |         10 |         56 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/orderStatCard/_index.scss                            | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/orderStatCard/_orderStatCard.scss                    | SCSS               |         46 |          0 |          9 |         55 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/ordersTable/_index.scss                              | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/ordersTable/_ordersTable.scss                        | SCSS               |         43 |          0 |         10 |         53 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/pagination/_index.scss                               | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/pagination/_pagination.scss                          | SCSS               |          7 |          0 |          1 |          8 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/productCard/_index.scss                              | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/productCard/_productCard.scss                        | SCSS               |        107 |          0 |         21 |        128 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/productDetailsForm/_index.scss                       | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/productDetailsForm/_productDetailsForm.scss          | SCSS               |        106 |          0 |         18 |        124 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/productStatCard/_index.scss                          | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/productStatCard/_productStatCard.scss                | SCSS               |         67 |          0 |         13 |         80 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/saleGraph/_index.scss                                | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/saleGraph/_saleGraph.scss                            | SCSS               |         25 |          0 |          5 |         30 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/tag/_index.scss                                      | SCSS               |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/tag/_tag.scss                                        | SCSS               |         34 |          0 |          8 |         42 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_contentSection.scss                                  | SCSS               |          5 |          0 |          0 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_defaultLayout.scss                                   | SCSS               |         10 |          0 |          2 |         12 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_footer.scss                                          | SCSS               |         17 |          0 |          4 |         21 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_header.scss                                          | SCSS               |          8 |          0 |          1 |          9 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_index.scss                                           | SCSS               |          6 |          0 |          1 |          7 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_main.scss                                            | SCSS               |         11 |          0 |          2 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_navSidebar.scss                                      | SCSS               |         16 |          0 |          2 |         18 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_Home.scss                                                         | SCSS               |         20 |          0 |          4 |         24 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_index.scss                                                        | SCSS               |          5 |          0 |          1 |          6 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_orderDetails.scss                                                 | SCSS               |         11 |          0 |          2 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_orders.scss                                                       | SCSS               |         20 |          0 |          4 |         24 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_productDetails.scss                                               | SCSS               |         11 |          0 |          2 |         13 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_products.scss                                                     | SCSS               |         21 |          1 |          4 |         26 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/utils/api.js                                                                    | JavaScript         |         29 |          4 |          1 |         34 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/utils/htmlElement.js                                                            | JavaScript         |         18 |         16 |          2 |         36 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/utils/index.js                                                                  | JavaScript         |          4 |          0 |          1 |          5 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/utils/money.js                                                                  | JavaScript         |          7 |          1 |          1 |          9 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/utils/number.js                                                                 | JavaScript         |         16 |          4 |          2 |         22 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Breadcrumb/Breadcrumb.js                               | JavaScript         |         33 |         11 |         10 |         54 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Breadcrumb/index.js                                    | JavaScript         |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Button/Button.js                                       | JavaScript         |         48 |         12 |          8 |         68 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Button/index.js                                        | JavaScript         |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Category/Category.js                                   | JavaScript         |         36 |         12 |          9 |         57 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Category/CategoryToggle.js                             | JavaScript         |         55 |         17 |         15 |         87 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Category/index.js                                      | JavaScript         |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Chart/Chart.js                                         | JavaScript         |        153 |         31 |         23 |        207 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Chart/index.js                                         | JavaScript         |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/DragDropUploader/DragDropUploader.js                   | JavaScript         |         35 |         21 |          9 |         65 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/DragDropUploader/index.js                              | JavaScript         |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Input/Input.js                                         | JavaScript         |         13 |          6 |          2 |         21 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Input/InputContainer.js                                | JavaScript         |         28 |         14 |          9 |         51 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Input/TextArea.js                                      | JavaScript         |         16 |          7 |          5 |         28 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Input/index.js                                         | JavaScript         |          3 |          0 |          1 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Link/Link.js                                           | JavaScript         |         17 |          9 |          5 |         31 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Link/NavLink.js                                        | JavaScript         |         41 |         12 |         12 |         65 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Link/index.js                                          | JavaScript         |          2 |          0 |          1 |          3 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/ListTable/ListTable.js                                 | JavaScript         |         38 |         19 |         12 |         69 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/ListTable/TableBody.js                                 | JavaScript         |         39 |         24 |         11 |         74 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/ListTable/TableHeader.js                               | JavaScript         |         31 |         22 |          9 |         62 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/ListTable/index.js                                     | JavaScript         |          3 |          0 |          1 |          4 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/OptionsBox/OptionsBox.js                               | JavaScript         |        107 |         46 |         25 |        178 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/OptionsBox/index.js                                    | JavaScript         |          1 |          0 |          1 |          2 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/OrderDetails/CustomerDetails/CustomerDetailsSection.js | JavaScript         |        176 |         60 |         31 |        267 |
| /home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/OrderDetails/CustomerDetails/CustomerInformation.js    | JavaScript         |         35 |         14 |         12 |         61 |
