Date : 2024-03-05 22:21:05
Directory : /home/mcs/Workspace/js/js-vanilla-practice
Total : 196 files,  7198 codes, 1060 comments, 980 blanks, all 9238 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        108 |      3,294 |      1,047 |        729 |      5,070 |
| JSON               |          3 |      2,628 |          0 |          3 |      2,631 |
| SCSS               |         60 |      1,155 |         13 |        237 |      1,405 |
| XML                |         22 |         85 |          0 |          0 |         85 |
| Markdown           |          1 |         15 |          0 |          9 |         24 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        196 |      7,198 |      1,060 |        980 |      9,238 |
| . (Files)                                                                                                                      |          8 |      2,703 |          0 |         17 |      2,720 |
| src                                                                                                                            |        188 |      4,495 |      1,060 |        963 |      6,518 |
| src (Files)                                                                                                                    |          2 |          4 |          3 |          3 |         10 |
| src/assets                                                                                                                     |         22 |         85 |          0 |          0 |         85 |
| src/assets/icons                                                                                                               |         22 |         85 |          0 |          0 |         85 |
| src/constants                                                                                                                  |          4 |        123 |          0 |         13 |        136 |
| src/controllers                                                                                                                |          7 |        212 |         58 |         27 |        297 |
| src/model                                                                                                                      |         15 |        204 |        124 |         28 |        356 |
| src/model (Files)                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| src/model/common                                                                                                               |          2 |          5 |          0 |          2 |          7 |
| src/model/dto                                                                                                                  |         12 |        197 |        124 |         25 |        346 |
| src/routes                                                                                                                     |          3 |        158 |         22 |         27 |        207 |
| src/styles                                                                                                                     |         59 |      1,154 |         13 |        236 |      1,403 |
| src/styles (Files)                                                                                                             |          1 |          4 |          0 |          1 |          5 |
| src/styles/abstracts                                                                                                           |          2 |         31 |          4 |          6 |         41 |
| src/styles/base                                                                                                                |          4 |        125 |          8 |         25 |        158 |
| src/styles/components                                                                                                          |         46 |        906 |          0 |        187 |      1,093 |
| src/styles/components (Files)                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| src/styles/components/elements                                                                                                 |         38 |        831 |          0 |        174 |      1,005 |
| src/styles/components/elements (Files)                                                                                         |          1 |         17 |          0 |          1 |         18 |
| src/styles/components/elements/breadcrumb                                                                                      |          2 |         22 |          0 |          6 |         28 |
| src/styles/components/elements/button                                                                                          |          2 |         41 |          0 |         11 |         52 |
| src/styles/components/elements/category                                                                                        |          3 |         26 |          0 |          6 |         32 |
| src/styles/components/elements/chart                                                                                           |          2 |          3 |          0 |          2 |          5 |
| src/styles/components/elements/input                                                                                           |          2 |         24 |          0 |          6 |         30 |
| src/styles/components/elements/link                                                                                            |          3 |         20 |          0 |          3 |         23 |
| src/styles/components/elements/listTable                                                                                       |          2 |         45 |          0 |         10 |         55 |
| src/styles/components/elements/optionsBox                                                                                      |          2 |         56 |          0 |          9 |         65 |
| src/styles/components/elements/orderDetails                                                                                    |          3 |        134 |          0 |         27 |        161 |
| src/styles/components/elements/orderStatCard                                                                                   |          2 |         47 |          0 |         10 |         57 |
| src/styles/components/elements/ordersTable                                                                                     |          2 |         44 |          0 |         11 |         55 |
| src/styles/components/elements/pagination                                                                                      |          2 |          8 |          0 |          2 |         10 |
| src/styles/components/elements/productCard                                                                                     |          2 |        108 |          0 |         22 |        130 |
| src/styles/components/elements/productDetailsForm                                                                              |          2 |        107 |          0 |         19 |        126 |
| src/styles/components/elements/productStatCard                                                                                 |          2 |         68 |          0 |         14 |         82 |
| src/styles/components/elements/saleGraph                                                                                       |          2 |         26 |          0 |          6 |         32 |
| src/styles/components/elements/tag                                                                                             |          2 |         35 |          0 |          9 |         44 |
| src/styles/components/layouts                                                                                                  |          7 |         73 |          0 |         12 |         85 |
| src/styles/pages                                                                                                               |          6 |         88 |          1 |         17 |        106 |
| src/utils                                                                                                                      |          5 |         74 |         25 |          7 |        106 |
| src/view                                                                                                                       |         71 |      2,481 |        815 |        622 |      3,918 |
| src/view (Files)                                                                                                               |          1 |          2 |          0 |          1 |          3 |
| src/view/components                                                                                                            |         64 |      2,202 |        740 |        546 |      3,488 |
| src/view/components (Files)                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| src/view/components/Elements                                                                                                   |         56 |      1,995 |        705 |        504 |      3,204 |
| src/view/components/Elements (Files)                                                                                           |          1 |         18 |          0 |          1 |         19 |
| src/view/components/Elements/Breadcrumb                                                                                        |          2 |         34 |         11 |         11 |         56 |
| src/view/components/Elements/Button                                                                                            |          2 |         49 |         12 |          9 |         70 |
| src/view/components/Elements/Category                                                                                          |          3 |         93 |         29 |         25 |        147 |
| src/view/components/Elements/Chart                                                                                             |          2 |        154 |         31 |         24 |        209 |
| src/view/components/Elements/DragDropUploader                                                                                  |          2 |         36 |         21 |         10 |         67 |
| src/view/components/Elements/Input                                                                                             |          4 |         60 |         27 |         17 |        104 |
| src/view/components/Elements/Link                                                                                              |          3 |         60 |         21 |         18 |         99 |
| src/view/components/Elements/ListTable                                                                                         |          4 |        111 |         65 |         33 |        209 |
| src/view/components/Elements/OptionsBox                                                                                        |          2 |        108 |         46 |         26 |        180 |
| src/view/components/Elements/OrderDetails                                                                                      |          9 |        378 |        119 |        100 |        597 |
| src/view/components/Elements/OrderDetails (Files)                                                                              |          1 |          2 |          0 |          1 |          3 |
| src/view/components/Elements/OrderDetails/CustomerDetails                                                                      |          4 |        268 |         84 |         59 |        411 |
| src/view/components/Elements/OrderDetails/OrderedProducts                                                                      |          4 |        108 |         35 |         40 |        183 |
| src/view/components/Elements/OrderStatCard                                                                                     |          2 |         61 |         15 |         21 |         97 |
